"","player_id","birthdate","position","year","team","competition","total_points_scored","matches_played","matches_started","tries_scored","penalty_goals_scored","drop_goals_scored","conversions","yellow_cards","red_cards","total_minutes_played","player_name"
"1","esteban-abadie-4289","01/12/1997","Third Row",2022,"Brive","Top 14",0,2,2,0,0,0,0,0,0,160,"ESTEBAN ABADIE"
"2","esteban-abadie-4289","01/12/1997","Third Row",2021,"Brive","Top 14",10,20,14,2,0,0,0,0,0,1185,"ESTEBAN ABADIE"
"3","esteban-abadie-4289","01/12/1997","Third Row",2020,"Brive","Top 14",0,8,3,0,0,0,0,1,0,315,"ESTEBAN ABADIE"
"4","esteban-abadie-4289","01/12/1997","Third Row",2019,"Brive","Top 14",0,2,2,0,0,0,0,0,0,139,"ESTEBAN ABADIE"
"5","esteban-abadie-4289","01/12/1997","Third Row",2017,"Racing 92","Top 14",0,1,0,0,0,0,0,0,0,24,"ESTEBAN ABADIE"
"6","paul-abadie-3015","28/07/1994","Scrum half",2022,"Brive","Top 14",0,1,1,0,0,0,0,0,0,42,"PAUL ABADIE"
"7","paul-abadie-3015","28/07/1994","Scrum half",2021,"Brive","Top 14",0,15,9,0,0,0,0,1,0,724,"PAUL ABADIE"
"8","paul-abadie-3015","28/07/1994","Scrum half",2020,"Agen","Top 14",52,19,18,4,10,0,1,0,0,1133,"PAUL ABADIE"
"9","paul-abadie-3015","28/07/1994","Scrum half",2019,"Agen","Top 14",10,13,10,2,0,0,0,0,0,730,"PAUL ABADIE"
"10","paul-abadie-3015","28/07/1994","Scrum half",2018,"Agen","Top 14",0,19,17,0,0,0,0,1,0,1038,"PAUL ABADIE"
"11","paul-abadie-3015","28/07/1994","Scrum half",2017,"Agen","Top 14",8,14,4,1,1,0,0,0,0,479,"PAUL ABADIE"
"12","paul-abadie-3015","28/07/1994","Scrum half",2015,"Agen","Top 14",3,7,4,0,1,0,0,0,0,312,"PAUL ABADIE"
"13","mathieu-acebes-621","01/08/1987","Wing",2022,"USAP","Top 14",0,2,2,0,0,0,0,0,0,160,"MATHIEU ACEBES"
"14","mathieu-acebes-621","01/08/1987","Wing",2021,"USAP","Top 14",15,25,23,3,0,0,0,2,0,1810,"MATHIEU ACEBES"
